x, y
0.0016666666666666668, 1.3359375
0.08166666666666667, 1.34375
0.155, 1.3203125
0.2316666666666667, 1.2578125
0.3016666666666667, 1.28125
0.3666666666666667, 1.3203125
0.43333333333333335, 1.28125
0.49833333333333335, 1.234375
0.5516666666666667, 1.1875
0.6116666666666667, 1.1953125
0.6616666666666667, 1.140625
0.7133333333333334, 1.0859375
0.775, 1.078125
0.8366666666666667, 1.03125
0.8816666666666667, 0.859375
0.9133333333333334, 0.671875
0.9383333333333334, 0.40625
0.9566666666666668, 0.2421875
0.9733333333333334, 0.1171875
1.0033333333333334, 0.1953125
